NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;DS_COMPLEMENTO;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;QT_MAT_BAS
2019;Brasiléia;1200104;ESC FRANCISCO GERMANO DA SILVA;12032905;3;2;1.0;ESTRADA DO PACIFICO KM 68;;1.0;0.0;0.0;0.0;141.0
2019;Brasiléia;1200104;ESC CAMPO VERDE;12035424;3;2;1.0;BR 317 KM 67 RAMAL;;0.0;0.0;0.0;1.0;17.0
2019;Brasiléia;1200104;ESC LUIZA ALVES BEZERRA;12045829;3;2;1.0;BR 317 KM 59 MAIS RAMAL;;1.0;0.0;0.0;0.0;7.0
2019;Brasiléia;1200104;ESC SANTA LUZIA;12046035;3;2;1.0;BR 317 KM 84 MAIS 17 DE RAMAL;;0.0;0.0;0.0;1.0;9.0
2019;Brasiléia;1200104;ESC MARIA SOCORRO DE SOUZA FROTA;12046043;3;1;0.0;RUA JOAO SALES DE MOURA;;1.0;0.0;0.0;0.0;509.0
2019;Bujari;1200138;ESC CAJUEIRO;12009350;2;2;0.0;BR 364 KM 87 BAIXO RIO ANTIMARI;;0.0;0.0;0.0;1.0;19.0
2019;Bujari;1200138;ESC SAO JOAO BATISTA;12009369;2;1;0.0;RUA JOSE PEREIRA GURGEL;ESCOLA;1.0;0.0;0.0;0.0;1041.0
2019;Bujari;1200138;ESC DO LIMOEIRO;12009377;2;2;0.0;BR 364 KM 87 BAIXO RIO ANTIMARI;;1.0;0.0;0.0;0.0;22.0
2019;Bujari;1200138;ESC GOVERNADOR EDMUNDO PINTO DE ALMEIDA NETO;12009407;3;1;0.0;RUA RUA NETEL MAIA;;1.0;0.0;0.0;0.0;729.0
2019;Bujari;1200138;ESC FRANCISCO ANTONIO DA SILVA;12009423;3;2;0.0;ASSENTAMENTO BR 364 KM 64 RAMAL COPAIBA KM 35 COLO;RAMAL COPAIBA KM 30;1.0;0.0;0.0;0.0;9.0
2019;Bujari;1200138;ESC FRANCISCO SALUSTIANO CARDOSO;12009431;3;2;0.0;RUA BR364 KM 86 RIO ANTIMARY;RIO ANTIMARY DESCEN;1.0;0.0;0.0;0.0;21.0
2019;Bujari;1200138;ESC JOSE CESARIO DE FARIAS;12009466;3;2;0.0;BR 364 KM 50;;1.0;0.0;0.0;0.0;328.0
2019;Bujari;1200138;ESC MAMEDIA MACIEL;12009474;3;2;0.0;ASSENTAMENTO BR 364 KM 66 RAMAL MARIZINHO KM 08;;1.0;0.0;0.0;0.0;11.0
2019;Bujari;1200138;ESC MANOEL CEZARIO DE FARIAS;12009482;2;2;0.0;BR 364 KM 52 RAMAL LINHA NOVA KM 30;RAMAL DA MANGA;1.0;0.0;0.0;0.0;78.0
2019;Bujari;1200138;ESC MAPINGUARI;12009490;2;2;0.0;BR 364 KM 87 BAIXO RIO ANTIMARI;;1.0;0.0;0.0;0.0;25.0
2019;Bujari;1200138;ESC OSVALDO VALE DA SILVA;12009512;3;2;0.0;ASSENTAMENTO BR 364 KM 52 RAMAL LINHA NOVA KM 28;;1.0;0.0;0.0;0.0;12.0
2019;Bujari;1200138;ESC PEDRO ALVARO;12009547;2;2;0.0;BR 364 KM 87 ALTO RIO ANTIMARI;;1.0;0.0;0.0;0.0;10.0
2019;Bujari;1200138;ESC PEDRO GOMES DE LIMA;12009555;2;2;0.0;BR 364 KM 28 RAMAL BUJARI KM 06/PICARREIRA KM 08.;PROJETO WALTER ACER;1.0;0.0;0.0;0.0;175.0
