Ano;Região;UF;Municipio;CNPJ EEX;Código Escola;Escola;Localização;CNPJ UEX;Razão Social;DDD Telefone;Telefone;Email;Rede de Atendimento;Mandato Dirigente;Data Fim do Mandato;Data Atualização;Hora Atualização
2019;NORTE;AC;Brasiléia;'04508933000145;12045829;ESC LUIZA ALVES BEZERRA;Rural;'12196854000174;CONSELHO ESCOLAR CONSORCIO GESILDA DE FREITAS PAIXAO;68.0;35464643.0;;PARTICULAR;À VENCER;26/05/2029;23/07/2019;11:07:34
2019;NORTE;AC;Brasiléia;'04508933000145;12046043;ESC MARIA SOCORRO DE SOUZA FROTA;Urbana;'11790106000152;CONSELHO ESCOLAR MARIA SOCORRO DE SOUZA FROTA;68.0;35464004.0;;PARTICULAR;À VENCER;24/03/2029;12/08/2019;11:08:15
2019;NORTE;AC;Brasiléia;'04508933000145;12016659;ESC MIZAEL ABRAHAO SAAD;Rural;'12615360000187;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO I;68.0;35464643.0;;PARTICULAR;À VENCER;19/05/2029;27/08/2019;10:08:58
2019;NORTE;AC;Brasiléia;'04508933000145;12026956;ESC NOSSA SENHORA APARECIDA II;Rural;'12615360000187;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO I;68.0;35464643.0;;PARTICULAR;À VENCER;19/05/2029;27/08/2019;10:08:58
2019;NORTE;AC;Brasiléia;'04508933000145;12016705;ESC NOVA UNIAO;Rural;'12398879000150;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO II;68.0;35464643.0;;PARTICULAR;À VENCER;19/05/2029;;
2019;NORTE;AC;Brasiléia;'04508933000145;12016764;ESC PADRE ANDRE NATALINO;Rural;'14604084000187;CONSELHO ESCOLAR CONSORCIO PADRE ANDRE NATALINO;68.0;35464643.0;;PARTICULAR;VENCIDO;15/11/2017;;
2019;NORTE;AC;Brasiléia;'04508933000145;12016845;ESC RAIMUNDA FLORES;Rural;'12398879000150;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO II;68.0;35464643.0;;PARTICULAR;À VENCER;19/05/2029;;
2019;NORTE;AC;Brasiléia;'04508933000145;12046035;ESC SANTA LUZIA;Rural;'12615360000187;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO I;68.0;35464643.0;;PARTICULAR;À VENCER;19/05/2029;27/08/2019;10:08:58
2019;NORTE;AC;Brasiléia;'04508933000145;12016977;ESC SANTA QUITERIA;Rural;'12615360000187;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO I;68.0;35464643.0;;PARTICULAR;À VENCER;19/05/2029;27/08/2019;10:08:58
2019;NORTE;AC;Brasiléia;'04508933000145;12023477;ESC SAO FRANCISCO I;Rural;'12615360000187;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO I;68.0;35464643.0;;PARTICULAR;À VENCER;19/05/2029;27/08/2019;10:08:58
