NU_ANO_CENSO;SG_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;CO_ESCOLA_SEDE_VINCULADA;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE
2021;AC;Capixaba;1200179;ESC MARIA JOSE DE FREITAS PAES;12019291;3;2;0;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Capixaba;1200179;ESC SAO FRANCISCO;12019941;3;2;0;0;1;0;1;0;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC FRANCISCO FERREIRA DE MORAIS;12021342;3;2;0;0;1;0;0;0;0;1;0;0;0;1
2021;AC;Capixaba;1200179;ESC MUNDO ENCANTADO;12021725;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC NOVA ESPERANCA;12023396;2;2;1;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC JOSE SILVEIRA DA COSTA;12026131;3;2;0;0;1;0;1;0;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC TRES MARIAS;12028185;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC JOSE ALVES DA SILVA;12030694;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC ARISTON FERREIRA DA CUNHA;12030899;2;2;0;0;1;0;1;0;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC PROFª NOELIA MARIA ALVES DE SOUZA;12042226;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Cruzeiro do Sul;1200203;ESC COLEGIO CRISTAO CRUZEIRO;12000094;2;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Cruzeiro do Sul;1200203;ESC PRESIDENTE TANCREDO DE ALMEIDA NEVES;12000108;2;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Cruzeiro do Sul;1200203;ESC 17 DE NOVEMBRO;12000124;3;2;0;0;1;0;1;0;0;0;1;0;0;0
2021;AC;Cruzeiro do Sul;1200203;ESCOLA 21 DE ABRIL;12000132;3;1;0;0;1;1;0;0;0;0;1;0;0;0
